CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  235160.00 ,      579.9 ,     147756 ,     147756
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,       13.5 ,          0 ,          0
BOLT        , AB24     , --   ,       0.00 ,       0.00 ,      24.00 ,     730.00 ,      343.8 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       29.4 ,          0 ,          0
BOLT        , H16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        3.0 ,          0 ,          0
BOLT        , H20X90   , --   ,       0.00 ,       0.00 ,      20.00 ,      89.99 ,       76.5 ,          0 ,          0
BOLT        , M12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       58.2 ,          0 ,          0
BOLT        , M16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        0.2 ,          0 ,          0
SCREW       , 12x20SDS , --   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        2.7 ,          0 ,          0
SCREW       , 12x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       11.6 ,          0 ,          0
SCREW       , 12x20SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       14.3 ,          0 ,          0
SCREW       , 12x20SDS , HA   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        8.2 ,          0 ,          0
SCREW       , 14x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       24.5 ,          0 ,          0
SCREW       , 14x55SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      55.00 ,       15.7 ,          0 ,          0
SCREW       , Rivet    , --   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        1.4 ,          0 ,          0
SCREW       , Rivet    , A3   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        3.4 ,          0 ,          0
SCREW       , Rivet    , EX   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        0.7 ,          0 ,          0
SCREW       , Rivet    , HA   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        0.7 ,          0 ,          0
