COLD_FORMED , 200Z15   , ---  ,      60.00 ,     345.00 ,       1.50 ,  387907.25 ,     1574.9 ,    2676556 ,    2676556
COLD_FORMED , 200Z18   , ---  ,      60.00 ,     345.00 ,       1.80 , 2233035.50 ,    10874.9 ,   15407920 ,   15407920
PANEL       , 45250 .5 , A2   ,    1000.00 ,    1000.00 ,       0.50 ,  925328.06 ,     4432.3 ,    9253280 ,    9253280
PANEL       , 45250 .5 , A3   ,    1000.00 ,    1000.00 ,       0.50 , 3190504.00 ,    15282.5 ,   31905040 ,   31905040
TRIM        ,          , --   ,     500.00 ,     501.65 ,       0.40 ,  179200.05 ,      281.3 ,    1795656 ,    1795656
TRIM        ,          , --   ,      50.00 ,     531.81 ,       0.40 ,     600.00 ,        1.0 ,       6385 ,       6385
TRIM        ,          , --   ,     600.00 ,     601.66 ,       0.40 ,  100800.03 ,      189.9 ,    1212319 ,    1212319
TRIM        ,          , --   ,      50.00 ,    1368.43 ,       0.40 ,   22399.96 ,       96.0 ,     612866 ,     612866
TRIM        ,          , --   ,     200.00 ,    6381.75 ,       0.40 ,     100.00 ,        2.0 ,      12764 ,      12764
TRIM        ,          , A3   ,     300.00 ,     301.63 ,       0.40 ,   67200.02 ,       63.4 ,     404489 ,     404489
TRIM        ,          , A3   ,     710.00 ,    2279.65 ,       0.40 ,   53200.08 ,      380.0 ,    2425854 ,    2425854
TRIM        ,          , HA   ,     300.00 ,     301.63 ,       0.40 ,  246400.06 ,      232.3 ,    1483125 ,    1483125
TRIM        ,          , HA   ,     300.00 ,     317.50 ,       0.40 ,  201600.06 ,      200.9 ,    1282435 ,    1282435
TRIM        ,          , HA   ,     400.00 ,     400.05 ,       0.40 ,  134400.03 ,      168.7 ,    1077129 ,    1077129
TRIM        ,          , HA   ,     215.00 ,     215.00 ,       0.50 ,      50.00 ,        0.0 ,        213 ,        213
TRIM        ,          , HA   ,      50.00 ,     152.40 ,       2.00 ,      50.00 ,        0.1 ,        153 ,        153
TRIM        ,          , HA   ,     200.00 ,     600.08 ,       2.00 ,    6000.00 ,       56.5 ,      71981 ,      71981
ANGLE       , L40X40X4 , RO   ,      39.88 ,      39.88 ,       4.00 ,  255715.52 ,      618.8 ,     393815 ,     393815
ANGLE       , L50X50X5 , RO   ,      50.04 ,      50.04 ,       5.00 ,   36577.02 ,      137.9 ,      70180 ,      70180
ANGLE       , L75X100  , RO   ,     175.00 ,     175.00 ,       2.00 ,  146999.95 ,      461.6 ,     587846 ,     587846
ANGLE       , SROD12   ,      ,      12.00 ,      12.00 ,      12.00 ,  271418.31 ,      293.1 ,      62188 ,      62188
ANGLE       , SROD12   , --   ,      12.00 ,      12.00 ,      12.00 , 1307811.00 ,      637.1 ,     135166 ,     135166
CABLE       , ROD20    , --   ,       0.00 ,       0.00 ,      20.00 ,  433000.00 ,     1067.8 ,     272062 ,     272062
BOLT        , AB16     , --   ,       0.00 ,       0.00 ,      16.00 ,     624.99 ,       48.2 ,          0 ,          0
BOLT        , AB20     , --   ,       0.00 ,       0.00 ,      20.00 ,     624.99 ,      141.9 ,          0 ,          0
BOLT        , H12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,      105.5 ,          0 ,          0
BOLT        , H20X90   , --   ,       0.00 ,       0.00 ,      20.00 ,      89.99 ,      144.2 ,          0 ,          0
BOLT        , H24X110  , --   ,       0.00 ,       0.00 ,      24.00 ,     110.01 ,      139.8 ,          0 ,          0
BOLT        , M12X50   , --   ,       0.00 ,       0.00 ,      12.00 ,      50.01 ,       88.1 ,          0 ,          0
BOLT        , M16X70   , --   ,       0.00 ,       0.00 ,      16.00 ,      70.00 ,        1.6 ,          0 ,          0
SCREW       , 12x20SDS , --   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,        2.7 ,          0 ,          0
SCREW       , 12x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       13.6 ,          0 ,          0
SCREW       , 12x20SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       49.0 ,          0 ,          0
SCREW       , 12x20SDS , HA   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       17.7 ,          0 ,          0
SCREW       , 14x20SDS , A2   ,       0.00 ,       0.00 ,       0.00 ,      20.00 ,       32.0 ,          0 ,          0
SCREW       , 14x55SDS , A3   ,       0.00 ,       0.00 ,       0.00 ,      55.00 ,       81.0 ,          0 ,          0
SCREW       , Rivet    , --   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        2.0 ,          0 ,          0
SCREW       , Rivet    , A3   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        3.4 ,          0 ,          0
SCREW       , Rivet    , HA   ,       0.00 ,       0.00 ,       0.00 ,      11.00 ,        1.4 ,          0 ,          0
